"","Edu2.FM","Labo.FM","Life.Exp","Edu.Exp","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Qatar",1.13050847457627,0.531937172774869,78.2,13.8,123124,6,9.5,0
"Andorra",1.00405679513185,NA,81.3,13.5,43978,NA,NA,50
"Slovakia",0.995979899497487,0.744897959183674,76.3,15.1,25845,7,15.9,18.7
"Poland",0.928654970760234,0.75346687211094,77.4,15.5,23177,3,12.2,22.1
"Lithuania",0.944856839872746,0.829123328380386,73.3,16.4,24500,11,10.6,23.4
"Malta",0.877237851662404,0.571644042232277,80.6,14.4,27930,9,18.2,13
"Saudi Arabia",0.860597439544808,0.257982120051086,74.3,16.3,52821,16,10.2,19.9
"Argentina",0.977430555555555,0.633333333333333,76.3,17.9,22050,69,54.4,36.8
"United Arab Emirates",1.19444444444444,0.505434782608696,77,13.3,60868,8,27.6,17.5
"Chile",0.959424083769633,0.657754010695187,81.7,15.2,21290,22,55.3,15.8
"Portugal",0.989626556016598,0.829305135951662,80.9,16.3,25757,8,12.6,31.3
"Hungary",0.991894630192503,0.746666666666667,75.2,15.4,22916,14,12.1,10.1
"Bahrain",1.10311284046693,0.451093210586881,76.6,14.4,38599,22,13.8,15
"Latvia",0.998989898989899,0.812130177514793,74.2,15.2,22281,13,13.5,18
"Croatia",0.908119658119658,0.76541095890411,77.3,14.8,19409,13,12.7,25.8
"Kuwait",0.987566607460036,0.524669073405536,74.4,14.7,83961,14,14.5,1.5
"Montenegro",0.889123548046463,0.75043630017452,76.2,15.2,14558,7,15.2,17.3
"Belarus",0.943600867678959,0.793977812995246,71.3,15.7,16676,1,20.6,30.1
"Russian Federation",0.968648648648649,0.796373779637378,70.1,14.7,22352,24,25.7,14.5
"Oman",0.82661996497373,0.351089588377724,76.8,13.6,34858,11,10.6,9.6
"Romania",0.935869565217391,0.750385208012327,74.7,14.2,18108,33,31,12
"Uruguay",1.08151093439364,0.723958333333333,77.2,15.5,19283,14,58.3,11.5
"Bahamas",1.04109589041096,0.873896595208071,75.4,12.6,21336,37,28.5,16.7
"Kazakhstan",0.964574898785425,0.869062901155327,69.4,15,20867,26,29.9,20.1
"Barbados",1.02052451539339,0.860313315926893,75.6,15.4,12488,52,48.4,19.6
"Antigua and Barbuda",NA,NA,76.1,14,20070,NA,49.3,25.7
"Bulgaria",0.971786833855799,0.811864406779661,74.2,14.4,15596,5,35.9,20.4
"Palau",NA,NA,72.7,13.7,13496,NA,NA,10.3
"Panama",1.08216432865731,0.599022004889976,77.6,13.3,18192,85,78.5,19.3
"Malaysia",0.91304347826087,0.588079470198675,74.7,12.7,22762,29,5.7,14.2
"Mauritius",0.851724137931034,0.587601078167116,74.4,15.6,17470,73,30.9,11.6
"Seychelles",1.0045045045045,NA,73.1,13.4,23300,NA,56.3,43.8
"Trinidad and Tobago",0.980295566502463,0.701986754966887,70.4,12.3,26090,84,34.8,24.7
"Serbia",0.793478260869565,0.730706075533662,74.9,14.4,12190,16,16.9,34
"Cuba",0.942893401015228,0.62,79.4,13.8,7301,80,43.1,48.9
"Lebanon",0.956678700361011,0.328631875881523,79.3,13.8,16509,16,12,3.1
"Costa Rica",1.0039603960396,0.589873417721519,79.4,13.9,13413,38,60.8,33.3
"Iran (Islamic Republic of)",0.920118343195266,0.22554347826087,75.4,15.1,15440,23,31.6,3.1
"Venezuela (Bolivarian Republic of)",1.11417322834646,0.64520202020202,74.2,14.2,16159,110,83.2,17
"Turkey",0.65,0.415254237288136,75.3,14.5,18677,20,30.9,14.4
"Sri Lanka",0.951570680628272,0.46002621231979,74.9,13.7,9779,29,16.9,5.8
"Mexico",0.919141914191419,0.564455569461827,76.8,13.1,16056,49,63.4,37.1
"Brazil",1.04198473282443,0.735148514851485,74.5,15.2,15175,69,70.8,9.6
"Georgia",0.967637540453074,0.752330226364847,74.9,13.8,7164,41,46.8,11.3
"Saint Kitts and Nevis",NA,NA,73.8,12.9,20805,NA,NA,6.7
"Azerbaijan",0.962012320328542,0.903735632183908,70.8,11.9,16428,26,40,15.6
"Grenada",NA,NA,73.4,15.8,10939,23,35.4,25
"Jordan",0.885350318471338,0.234234234234234,74,13.5,11365,50,26.5,11.6
"The former Yugoslav Republic of Macedonia",0.723021582733813,0.638518518518518,75.4,13.4,11780,7,18.3,33.3
"Ukraine",0.956204379562044,0.795216741405082,71,15.1,8178,23,25.7,11.8
"Algeria",0.861290322580645,0.210526315789474,74.8,14,13054,89,10,25.7
"Peru",0.851739788199697,0.808056872037915,74.6,13.1,11015,89,50.7,22.3
"Albania",0.930602957906712,0.685496183206107,77.8,11.8,9943,21,15.3,20.7
"Armenia",0.989473684210526,0.746556473829201,74.7,12.3,8124,29,27.1,10.7
"Bosnia and Herzegovina",0.643266475644699,0.595113438045375,76.5,13.6,9638,8,15.1,19.3
"Ecuador",1.01776649746193,0.66142684401451,75.9,14.2,10605,87,77,41.6
